Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalues,rank,leading_edge,core_enrichment
ELVIDGE_HYPOXIA_BY_DMOG_UP,123,0.544874019,1.69713823,0.000102977,0.012684869,0.011297885,2968,"tags=30%, list=11%, signal=27%",Atf3/Sox9/Egfr/Tgfbi/Loxl2/Serpine1/Cited2/Tmem45a/Igfbp3/Plaur/Nfil3/S100a2/Ccn5/Dsc2/Slc2a1/Ang/Jun/Artn/Plac8/Spry1/Pfkfb3/Adm/Scnn1b/Wsb1/Klf6/Adora2b/Zfp395/Gprc5a/Dpysl4/Gys1/Slco4a1/Lox/Itpr1/Hilpda/Spag4/Igfbp5/Egr1
GSE9988_ANTI_TREM1_AND_LPS_VS_VEHICLE_TREATED_MONOCYTES_UP,156,0.518314773,1.658920599,0.000104993,0.01279643,0.011397248,3551,"tags=35%, list=13%, signal=30%",Csf1/Gadd45a/Srxn1/Fosl1/Pmaip1/Slc7a5/Chac1/Spag5/Plaur/Nfkbiz/Mapk6/Inhba/Cdk1/Sesn2/Jun/Hecw2/Adrb2/Txnrd1/Asns/Cxcl1/Mir155hg/Noct/Adm/Sfmbt2/Pld1/Il1b/Rgcc/Csrnp1/Gprc5a/Gla/Gars/Usp12/Slco4a1/Aqp9/Lrrc8b/Il36rn/Sgms2/Fnip2/Abl2/Gm13889/Rrad/Snupn/Dennd4a/Egr1/Cd274/Spp1/Dusp5/Klhl21/Pim3/S1pr3/Creb5/Ets2/Stard8/Usp53
MANNO_MIDBRAIN_NEUROTYPES_HPROGFPM,294,0.462757244,1.560659672,0.000105232,0.01279643,0.011397248,3041,"tags=25%, list=12%, signal=23%",Kif22/Prc1/Loxl2/Nek2/Troap/Ltbp1/Pmaip1/Fbln1/Sdc1/Frem2/Ccnb2/Ptx3/Spag5/Ccnb1/Ube2c/Bmp4/Ephb2/Mmp2/Dsc2/Mis18bp1/Lmnb1/Knstrn/Chek1/Cdk1/Sgo1/Mt2/Phgdh/Pkib/Shroom3/Hmmr/Plin2/Npy/Prom1/Map3k20/Cdca3/Pgghg/Cenpn/Ncaph/Trim59/Tacc3/Cdca8/Rest/Kcnq2/Erf/2610028H24Rik/Chn2/Ephb4/Galnt7/Ncapg/Gtse1/Tcf12/1700010I14Rik/Tpx2/Igdcc4/Syne2/H4c8/Slc6a8/H2bc18/Ect2/Pih1d1/Mt1/Kpna2/Vim/Bmp7/Hilpda/Foxa1/Hmga2/Syt4/Lmx1a/Pdgfc/Ucp2/Dipk2a/Tmem123/Hunk
SOTIRIOU_BREAST_CANCER_GRADE_1_VS_3_UP,130,0.5475652,1.722531406,0.000106778,0.012901753,0.011491055,5173,"tags=42%, list=20%, signal=34%",Prc1/Nek2/Troap/Slc7a5/Ccnb2/Spag5/Ccnb1/Ube2c/Lmnb1/Chek1/Cdk1/Rad54b/Hmmr/Txnrd1/Mcm6/Cdca3/Jpt1/Cenpn/Ncaph/Ddx39a/Tacc3/Espl1/Cdca8/Ncapg/Gtse1/Cep55/Tpx2/Tuba1c/E2f1/Ect2/Kpna2/Timeless/Mars1/Kifc5b/Kif20a/Mis18a/Shmt2/Bola2/Exo1/Nup93/Bysl/Pimreg/Dscc1/Stmn1/Gins1/Gtpbp4/Cks2/Bub1b/Ccne2/Tuba1a/Mcm2/Vrk1/Cdc20/Rad51
ALTEMEIER_RESPONSE_TO_LPS_WITH_MECHANICAL_VENTILATION,112,0.559395673,1.718794961,0.000108067,0.012974922,0.011556223,2540,"tags=30%, list=10%, signal=28%",Atf3/Timp1/Fgl2/Serpine1/Slc15a3/Il6/Plaur/Bst1/Socs3/Nfil3/Nfkbiz/Gadd45g/Ccr2/Tifa/Mt2/Itgam/Cebpd/Cybb/Cxcl1/Pfkfb3/Adm/Thbs1/Il15/Csf2rb2/Lst1/Csf3r/Ms4a6c/Il1b/Vcan/Ch25h/Bcl3/Rcan1/Mt1/Gpr84
TRAVAGLINI_LUNG_BRONCHIAL_VESSEL_2_CELL,260,0.471034993,1.578328214,0.000111533,0.013306775,0.011851791,3823,"tags=27%, list=15%, signal=24%",Atf3/Tnfrsf12a/Stom/Fosl2/Tm4sf1/Plaur/Clic4/Prdm1/Rnf122/Ulbp1/Socs3/Msx1/Cdkn1a/Lpar6/Trib1/Nnmt/Mt2/Cxcl12/Cebpd/Spry1/Ifitm1/Pfkfb3/Fmo2/Adm/Emp1/Adamts1/Cyyr1/Mx2/Sik1/Rpia/Etv6/Wsb1/Cdc42se1/Ifitm3/Rgcc/Csrnp1/Dlc1/Uap1/Tpm4/Arid5a/Zyx/Fam43a/A930018P22Rik/Tsc22d1/Abl2/Gm13889/Sertad1/Rcan1/Fosb/Slc25a25/Plekhf2/Ybx3/Sox17/Myct1/Abcb1a/Tcf4/Egr1/H3f3b/Ccnl1/Egr3/Lmna/Pnp2/Ets2/Bhlhe40/Esam/Socs2/A2m/Zc3hav1/Thbd/Coq10b/Rpl17
REACTOME_SENESCENCE_ASSOCIATED_SECRETORY_PHENOTYPE_SASP,94,0.567771811,1.720548388,0.000113513,0.013399969,0.011934794,4293,"tags=31%, list=16%, signal=26%",H4c18/Il6/Ube2c/Cdkn1a/H4c17/H4c4/H4c9/H2bc14/H3c8/Cdk6/Cdkn2b/Jun/H4c12/Igfbp7/Anapc15/H3c15/Fzr1/H4c8/H2bc15/H2bc18/Cdkn2a/H2ax/H3f3b/Nfkb1/Cebpb/H4c14/H2aj/Rps6ka3/Rps6ka1
GSE20715_0H_VS_48H_OZONE_TLR4_KO_LUNG_DN,190,0.500874289,1.633051702,0.000113727,0.013399969,0.011934794,6017,"tags=43%, list=23%, signal=33%",Phlda1/Rin1/Cish/Ccnb2/Akr1b8/Epcam/Socs3/Cdkn1a/Lgals3/Tmem132a/Nfil3/Rras2/Ell2/Gadd45g/Ctsh/Serpina3m/Prss22/Cdk1/Pprc1/Esd/Ptpn1/Nedd1/Cxcl1/Tk1/Adm/Ddx39a/Thbs1/Erlin1/Cep55/Dmkn/Uap1/Traf3/Stk40/Kdelr3/Kpna2/Lsm2/Mdn1/Ywhag/Ltv1/S100a14/Spp1/Gcnt3/Lbp/Kif20a/Eif4e/Cxcl5/Bysl/Heatr1/Slc3a2/Ckap4/Pmepa1/Stam/Tmem39a/Cks2/Pgk1/Mrps18b/Hyou1/F3/Cop1/Lrg1/Rpl18/Eif6/Tuft1/Dpagt1/Rad51/Alg2/Myc/Hnrnpab/Litaf/Mvd/Hint1/Syvn1/Cox5a/Tubb5/Sec23a/Apc/Erh/Acot7/Ldlr/Psmd2/Smpd1
GSE9988_LPS_VS_VEHICLE_TREATED_MONOCYTE_UP,153,0.524011204,1.674291948,0.000118316,0.013854658,0.012339767,4074,"tags=38%, list=15%, signal=32%",Gadd45a/Fosl1/Lamb3/Pmaip1/Slc7a5/Chac1/Ptx3/Il6/Ccnb1/Plaur/Tnfaip6/Socs3/Nfkbiz/Inhba/Tifa/Cdk1/Jun/Hecw2/Adrb2/Icam4/Stat5a/Cxcl1/Mir155hg/Noct/Adm/Sfmbt2/Pld1/Rel/Il1b/Csrnp1/Uap1/Ripk2/Usp12/Fjx1/Aqp9/Fnip2/Abl2/Gm13889/Plekhf2/Gpr84/Il15ra/Peli1/Dennd4a/Egr1/Zfp697/Cd274/Rnd1/Dusp5/Nfkb1/Pim3/Ets2/Stard8/Slamf7/Stk26/Dusp1/Dram1/Rhoh/Ptp4a1
GSE3039_ALPHAALPHA_VS_ALPHABETA_CD8_TCELL_UP,190,0.500206781,1.630875356,0.000120456,0.014018712,0.012485883,5516,"tags=42%, list=21%, signal=33%",Phlda1/Slc15a3/Il6/Uck2/Socs3/Cdkn1a/Lgals3/Ell2/Il4ra/Eps8/Basp1/Cchcr1/Mt2/Esd/Slc2a1/Aars/Jun/Echdc3/Dcn/Ccn4/Igfbp6/Elk3/1700017B05Rik/Cxcl1/Thap4/Ccr5/Ccdc80/Cped1/Csrnp1/Plau/C1rb/Ccdc86/Gys1/Gpat3/F11r/Micall2/Pcnx4/Mt1/Ptges/Gpr84/Hilpda/Dcaf1/S100a10/Cltb/Atg4b/Arl6ip4/Egr1/Niban2/Slc35f6/Rps27l/Slc39a1/Creb5/Hspa1b/Ets2/Bhlhe40/Nup93/Hspa1a/Bysl/B3gnt7/Srp19/Tlr2/Dab2/Pgls/Mrto4/Hmga1/Rnf217/Ltc4s/Fabp5/Pop4/Ikbke/Pdpn/Tmem214/Tatdn2/Eif2b2/Myc/Olfm1/Scamp1/Bcl2a1a/S100a1
