Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalues,rank,leading_edge,core_enrichment
MIR96_5P,409,0.453661594,1.365356809,0.001164476,0.041524847,0.034199996,5627,"tags=39%, list=21%, signal=31%",Has2/Sez6l/Itpr1/Chst1/Septin9/Mfap3l/Fndc3b/Sinhcaf/Igsf11/Dennd2c/Galnt2/Serpinb2/Rell1/Gap43/Gdnf/Plagl1/Stk17b/Snx30/Soga1/Pcgf5/Spsb1/Trabd2b/Ddah1/Fam43a/Phactr4/Slc6a9/Ahr/Myrip/Fyco1/Tbr1/Dpy19l3/Xkr4/Add3/Rapgef4/Igf2bp1/Zfp36l1/Etl4/Thbs2/Rnf183/Ednrb/Smad1/Itpr2/Clvs2/Slc12a5/Plekhm1/Tns3/Mast4/Epas1/Phf20l1/Plppr4/Fbxw11/Zfhx4/Sh3kbp1/Sh3pxd2b/Wdr82/Cttn/Ywhag/Foxo1/Erlin1/Arhgap6/Serinc5/Reep1/Gnai3/Aebp2/Aqp2/Tapt1/Col25a1/Usf3/Ube2g1/Slc44a5/Slc24a4/Zeb1/Pdzrn4/Ndst1/Sdc2/Zhx2/Plcb4/Ebf3/Nlgn2/Edem1/Sox5/Crkl/Atp2b4/Rab10/Zbtb41/Pcx/Sh3bp5/Creb3l2/Ptp4a1/Mthfd2l/Kras/B4galnt1/Zcchc14/Tcf7l2/Hdac7/Phip/Pik3c2a/Farp1/Lpp/Msn/Azin1/Zfand5/Plod2/Slc16a9/Phyhipl/Qk/2810459M11Rik/Ppp4r2/Ralb/Nckap1/Pcca/Trib3/Lgi1/Trim9/Daam1/Dock9/Aatk/Trio/Foxk2/Sik3/Rasa1/Fam171a1/Klhl7/Slc44a2/Psme4/Vamp3/Jmjd1c/Cd164/Rad23b/Dock1/Pak1/Zfp704/L1cam/Bicd2/Kpnb1/Nhlrc3/Ttyh3/Nova2/Cnn3/Rgs17/Cep170b/Rab8b/Clock/Mras/Bicral/Rictor/Ddhd1/Git2/Sv2c/Slc39a1/Fem1b/Abca2/Foxq1/Tmem189/Vat1/Snx16/Deptor/Rab35
MIR3714,389,0.452251297,1.362467689,0.001165655,0.041524847,0.034199996,6797,"tags=40%, list=26%, signal=30%",Sox9/Sema6a/Lrrc15/Ccdc3/Pappa/Chst1/Cdkn2a/Cdk6/Rhoq/Prox1/Tead1/Cmtm7/Grid1/Myo10/Ell2/Bmp6/Parp16/Snx30/Soga1/Pcgf5/Itpr3/Cd276/Rbpj/Zfp608/C1galt1/Nemp2/Myo1c/Kcnk10/Ahr/Myrip/Capn6/Slc1a4/Tor3a/Mier2/Col4a1/Cdkn1a/Fras1/Daam2/Slc4a8/Mob3b/Tmem178/Ezh2/Ikzf1/Tcf3/Acsl1/Raver2/Gpr158/Adrb2/Tmem178b/Mark1/Aff4/Rbfox2/Ptpn12/Apbb2/Antxr2/Tmcc3/Reep1/Atp6v0a2/Kcnj6/Rere/Tbl1xr1/Nfib/Grm1/Rimbp2/Hrh1/Marchf8/Atmin/Ptpn9/Mtpn/Adnp/Arnt2/Slc30a4/Rlim/Creb3l2/Slc35d1/Ctdsp2/Lancl1/Slc1a2/Fam177a2/Ulk2/Pik3c2a/Farp1/Pid1/Caln1/Lpp/Nr3c2/Zfand5/Sp1/Ppp1r13l/Qk/Rpia/Trib3/Rapgef6/Erf/Erlin2/Capn2/Rrm2/Gas1/Cd164/Iqgap1/Jph1/Col12a1/Ipo4/Pds5a/Efcab14/Rfx3/Wipf2/Plekhh1/Iqcj/Slc46a3/Nufip1/Adcy5/Fbxo33/Hmbox1/Ptbp3/Notch1/Mapk14/Csnk1g1/Mmd/Rela/Tbc1d9b/Desi2/Git2/Ermp1/Myrf/Vat1/Deptor/Cbl/Mfsd14b/Amotl1/Usp25/Mecp2/Rybp/Paxbp1/Rock1/Myh9/Aph1a/Zfp503/Minar1/Atp8a1/Ap1ar/Sh2b3/Dctn4/Bcl2l11/Dnajc1/Slc11a2/Vangl1/Ptbp2/Papolg/Tanc2/Golm2/Mylip/Extl3/Plscr3/Scamp2/Yipf6/Mtdh
THUM_SYSTOLIC_HEART_FAILURE_UP,390,0.454182286,1.368106724,0.001165655,0.041524847,0.034199996,4766,"tags=33%, list=18%, signal=27%",Igfbp3/Cx3cr1/Pik3cg/Clic4/Sln/Bcat1/Ccl12/Srpx2/Man1a/Inhbb/Tmem43/Gadd45a/Ace2/Lair1/Thbs1/Colq/C1qc/C3ar1/Il2rb/Cxcr4/H2-Ab1/Cdh19/Ptprc/Il2rg/Mfge8/Tspan18/St3gal3/Ss18/Cmah/Vgll3/Notch2/Ang/Mapkapk2/Socs2/Zfp608/Tm4sf1/Nhsl1/Ctss/Vcam1/Mpeg1/Prdm1/Aif1/Eng/Cdv3/Adm/Alox5ap/Fcgr2b/Scara3/Tnfrsf11b/C1qb/Tmem45a/Slc11a1/Tgfbr2/Pkp2/Loxl1/Hsd17b11/Tgm2/Jak2/Cd74/Sdc3/Vcan/Arhgdib/Cfi/C1qa/Fbxw11/Itgb1/Nfia/Ptk2/Ctsc/Pdgfc/Zmym6/Fbxo32/Picalm/Apbb2/Gsn/Nppb/Plat/Zfp36l2/Angpt2/Anxa4/Mrc1/Zeb1/Tbl1xr1/Zfp217/Sdc2/Riok3/Lyn/Hrh1/Adam17/Abcd3/Tspan12/Ccng2/BC005537/Septin10/Anp32a/Pla2g4a/Slc8a1/Arf6/Ppfibp1/Nbr1/Mfn2/Ms4a4a/Mapk1ip1l/Pdcd1/Kpna4/Pacsin2/Zfand5/Sp1/Mturn/Fcer1g/Plscr4/Nab1/Ralb/Cd46/Ms4a6c/Tyrobp/Serpine2/Utrn/Jam3/Vamp8/Vamp3/Oasl1/Ly96/Ntrk3/Rfc5/Slc9a9/Cp
GSE39820_CTRL_VS_IL1B_IL6_CD4_TCELL_DN,178,0.508367227,1.485298844,0.001168858,0.041524847,0.034199996,3410,"tags=24%, list=13%, signal=21%",Dach2/Fosl1/AA467197/Smim3/Tpbg/Smad3/Serpine1/Abca1/Cd109/Timp1/Pdpn/Il21/Rhoq/Tmem43/Itga7/Specc1/Socs3/Fndc3a/Tm4sf1/Ptprj/Prdm1/Fyco1/Dpy19l3/Mxi1/Akr1cl/Ern1/Lpxn/Jak2/Gpm6b/Blcap/Wdr81/Smox/Itga3/Erlin1/Cysltr2/Slc13a3/Casp6/Tapt1/Zfp36l2/Dlg2/Dennd11/Slc25a51/Slc30a4
PETROVA_PROX1_TARGETS_DN,54,0.646968489,1.678629334,0.001169036,0.041524847,0.034199996,3612,"tags=44%, list=14%, signal=38%",Cap2/Serpine1/Procr/Trim5/Lyl1/Mmp14/Gbp2/Bmp6/Tram2/Nnmt/Adgrg6/Pdlim4/Ccl2/Nrcam/Axl/Lpxn/Tnfrsf21/Vcan/Arhgdib/Cdh2/Smurf2/Nrp1/Pla2g4a/Il6
PTEN_DN.V1_UP,158,0.526864532,1.524548785,0.001171698,0.041541621,0.034213811,4441,"tags=35%, list=17%, signal=30%",Cyp26a1/Ccn5/Inhbb/Lhx2/Mia/Efnb3/Cyb5r2/Pax3/Neurog1/Slc6a1/Dsg3/Rsad2/Adra2a/Ntng1/Mmrn2/Col15a1/Clec1b/Tchh/Ptprj/Vcam1/Pfkfb4/Capn11/Nr2f1/Plce1/Alox5ap/Kcnq4/Tnnt3/Ptprz1/Rln1/Tcf7l1/Zbtb10/Evi2a/Plppr4/Bdnf/Mal/Chrnb1/Cyp39a1/Gdf10/Msmb/Pcdhb19/Osgin1/Jag1/Glt8d2/Rtp4/Arhgdig/Nfasc/Dok5/Slc26a4/Fcer1g/Cyp11b2/Txnip/BC051019/Tgfbr3/Gadd45g/Defb1/Jam3
GOBP_MORPHOGENESIS_OF_AN_EPITHELIAL_SHEET,52,0.649032331,1.675125802,0.00117494,0.041578842,0.034244467,3215,"tags=37%, list=12%, signal=32%",Flrt3/Sox11/Pdpn/Plet1/Wnt5a/Fermt1/Rhoc/Tbx20/Flna/Notch2/Phactr4/Srf/Col5a1/Rreb1/Mrtfa/Dag1/Jag1/Lama1/Adam17
STK33_UP,258,0.483502371,1.436111784,0.001194676,0.042178936,0.034738706,6541,"tags=46%, list=25%, signal=35%",Aqp9/Anxa1/Fgl2/Olr1/Phlda1/AA467197/Abca1/Creb5/Wnt5a/Mafb/Rhoc/C5ar1/Acvr1/Tgif1/Gbp2/Tfpi2/Acsm3/Tlr1/Ccn3/Lfng/Fndc3a/Cxcl2/Mpeg1/Gdf15/Icam1/Itgb8/Egr3/Jun/Myoz2/Sgk1/Adm/Rnd3/Zfp36l1/H2bc21/Nfxl1/Kitl/Zfp458/Pkib/Cdkn1a/Peli1/H2bc13/Otud1/Bmf/Trem1/Arrdc3/Unk/Ptpro/Aff4/Atg14/Il10ra/Tnf/Cmtm3/Nrp1/Abhd2/Rec114/Arl5b/Zeb2/Gpr137c/Asb2/Septin10/H3c8/Cnih3/Zcchc14/Fam177a2/Hecw2/Pid1/Gpatch2/Lcor/Relch/Sipa1l2/Rnf19b/Tyrobp/Daam1/Il6st/Socs6/Rin2/Zbtb6/Samd8/Map4k3/Gpr65/Gng11/Dusp8/Ly96/Btbd7/Rab12/Ankrd40/Cacul1/Gja1/Arid5b/Rhob/Nbeal1/Crk/Klf6/Foxq1/Glce/Snx16/Maff/Thbd/Amn1/Rnf149/Fcho2/Vwa5a/Cpeb2/Clvs1/Ncf2/Mtss1/Stam2/Cfl2/Usp53/Gpr137b/Dock4/Synj1/Adam28/Zmynd11/Ppp3r1/Dync2li1/Limk1/Gnpda2/Trip11
TARTE_PLASMA_CELL_VS_B_LYMPHOCYTE_DN,41,0.684075957,1.722339426,0.001196694,0.042178936,0.034738706,2121,"tags=37%, list=8%, signal=34%",Crybg1/Itpr1/Rhoh/Serpinb1a/Cd37/Trim5/Lyl1/Ms4a1/Ltb/Gch1/Ahr/Blk/Tgfbr2/Il4ra/Mob1a
BROWNE_HCMV_INFECTION_14HR_DN,273,0.46960648,1.400792325,0.001201328,0.042178936,0.034738706,4964,"tags=33%, list=19%, signal=27%",Has2/Crybg1/Egfr/Cap2/Mmp16/Parp4/Gstt4/Prss12/Cdh13/Smad3/Plaur/Serpine1/Rgs20/Cyp1b1/Pdpn/Wnt5a/Thbs1/Plcd1/Stc2/Oca2/Ackr3/Myo10/Cmah/Nlgn1/Notch2/Lamc2/Rras2/Nnmt/Ccl2/Blk/H2ac11/Itpka/Chek2/Add3/Axl/Zfp36l1/Dkk1/Alms1/Lpxn/Pde1c/Hoxa11/Inpp4b/H4c8/Marcks/Slitrk5/Itga3/Btnl10/Traf3ip2/Gins1/Jcad/Denn2b/Unc93a/Cit/Slc14a2/Zfp36l2/Zcchc24/Amot/Cdh6/Ada/Rasa2/Agfg1/Diaph2/Cebpd/S100a3/Rev3l/Rras/Tulp3/Tcf7l2/Sms/Mvp/Prkab2/Erlin2/Trio/Pde4dip/Slc16a2/Limk2/Synj2/H2ac1/Dtna/Gas1/Gstt2/Mical2/Gng11/Lpar1/Spn/Ercc2/Tjp1/H2ac19/H2aw/Abcc1
